"id","ticker","price","change_amount","change_percentage","volume","category","date_fetched"
241,SMXWW,0.019,0.0129,"211.4754%",312427,top_gainers,2024-09-16 08:01:11.343
242,NOVVU,35.33,23.18,"190.7819%",17976,top_gainers,2024-09-16 08:01:11.439
243,NOVV,37.3,23.76,"175.4801%",205220,top_gainers,2024-09-16 08:01:11.475
244,HHGCW,0.0081,0.0051,"170.0%",1318,top_gainers,2024-09-16 08:01:11.520
245,SMX,5.95,3.5,"142.8571%",49583555,top_gainers,2024-09-16 08:01:11.558
246,FORLW,0.12,0.0699,"139.521%",87286,top_gainers,2024-09-16 08:01:11.587
247,OMIC,12.38,6.78,"121.0714%",2805543,top_gainers,2024-09-16 08:01:11.639
248,PLMIW,0.0999,0.0499,"99.8%",37481,top_gainers,2024-09-16 08:01:11.674
249,ALSAR,0.12,0.0567,"89.5735%",161579,top_gainers,2024-09-16 08:01:11.711
250,TIL,84.52,38.06,"81.9199%",3874138,top_gainers,2024-09-16 08:01:11.744
251,TNON,7.55,3.15,"71.5909%",24208511,top_gainers,2024-09-16 08:01:11.778
252,ONFOW,0.17,0.0689,"68.1503%",36342,top_gainers,2024-09-16 08:01:11.816
253,NOVVW,0.045,0.0181,"67.2862%",629372,top_gainers,2024-09-16 08:01:11.851
254,CLNNW,0.0498,0.0196,"64.9007%",275,top_gainers,2024-09-16 08:01:11.885
255,MRNOW,0.16,0.06,"60.0%",1067954,top_gainers,2024-09-16 08:01:11.921
256,ABLVW,0.0399,0.0144,"56.4706%",10,top_gainers,2024-09-16 08:01:11.952
257,CGBSW,0.02,0.0072,"56.25%",151083,top_gainers,2024-09-16 08:01:11.988
258,RELIW,0.06,0.0215,"55.8442%",1000,top_gainers,2024-09-16 08:01:12.027
259,APCXW,0.2,0.0698,"53.6098%",13014,top_gainers,2024-09-16 08:01:12.064
260,CEROW,0.01,0.0034,"51.5152%",7046,top_gainers,2024-09-16 08:01:12.101
261,GSIW,2.99,-9.21,-75.4918%,4165537,top_losers,2024-09-16 08:01:12.135
262,CCTSW,0.011,-0.024,-68.5714%,44541,top_losers,2024-09-16 08:01:12.166
263,UPC,0.544,-1.126,-67.4251%,30295669,top_losers,2024-09-16 08:01:12.197
264,COOTW,0.0105,-0.0179,-63.0282%,55000,top_losers,2024-09-16 08:01:12.234
265,SURGW,0.0064,-0.0095,-59.7484%,5459,top_losers,2024-09-16 08:01:12.263
266,LUCYW,0.0281,-0.0298,-51.468%,33636,top_losers,2024-09-16 08:01:12.297
267,HSPOW,0.0179,-0.0161,-47.3529%,352,top_losers,2024-09-16 08:01:12.329
268,VMAR,0.7797,-0.7003,-47.3176%,34716303,top_losers,2024-09-16 08:01:12.359
269,XBPEW,0.016,-0.013,-44.8276%,13163,top_losers,2024-09-16 08:01:12.390
270,CELUW,0.0111,-0.0088,-44.2211%,2241,top_losers,2024-09-16 08:01:12.430
271,GB+,0.056,-0.044,-44.0%,19423,top_losers,2024-09-16 08:01:12.467
272,BCGWW,0.0332,-0.0258,-43.7288%,3200,top_losers,2024-09-16 08:01:12.499
273,SLQT,2.03,-1.56,-43.454%,12813876,top_losers,2024-09-16 08:01:12.534
274,PRLD,2.77,-2.06,-42.6501%,2471404,top_losers,2024-09-16 08:01:12.574
275,NCPLW,0.0141,-0.0092,-39.485%,1500,top_losers,2024-09-16 08:01:12.612
276,KACLR,0.0901,-0.0567,-38.624%,555,top_losers,2024-09-16 08:01:12.645
277,ABVEW,0.015,-0.0092,-38.0165%,37045,top_losers,2024-09-16 08:01:12.673
278,KUKE,0.6019,-0.3581,-37.3021%,1352335,top_losers,2024-09-16 08:01:12.710
279,HCTI,0.32,-0.1884,-37.0574%,828986,top_losers,2024-09-16 08:01:12.748
280,RVSNW,0.0451,-0.0249,-35.5714%,350,top_losers,2024-09-16 08:01:12.785
281,NVDA,119.1,-0.04,-0.0336%,236538118,most_actively_traded,2024-09-16 08:01:12.838
282,XXII,0.3422,0.0729,"27.0702%",182584608,most_actively_traded,2024-09-16 08:01:12.882
283,IMRX,2.02,0.59,"41.2587%",136186831,most_actively_traded,2024-09-16 08:01:12.928
284,SQQQ,8.17,-0.11,-1.3285%,127087959,most_actively_traded,2024-09-16 08:01:12.962
285,MULN,0.1322,-0.0348,-20.8383%,116176508,most_actively_traded,2024-09-16 08:01:12.998
286,ATPC,1.75,0.3,"20.6897%",80217072,most_actively_traded,2024-09-16 08:01:13.039
287,SOXL,33.44,1.63,"5.1242%",77456660,most_actively_traded,2024-09-16 08:01:13.071
288,NIO,5.53,0.25,"4.7348%",63894842,most_actively_traded,2024-09-16 08:01:13.105
289,TSLA,230.29,0.48,"0.2089%",59099214,most_actively_traded,2024-09-16 08:01:13.147
290,WBD,8.49,0.83,"10.8355%",57643497,most_actively_traded,2024-09-16 08:01:13.179
291,OPEN,2.27,0.08,"3.653%",57442173,most_actively_traded,2024-09-16 08:01:13.218
292,SOXS,23.27,-1.27,-5.1752%,53853804,most_actively_traded,2024-09-16 08:01:13.255
293,SMX,5.95,3.5,"142.8571%",49583555,most_actively_traded,2024-09-16 08:01:13.286
294,PLTR,35.59,0.68,"1.9479%",49355047,most_actively_traded,2024-09-16 08:01:13.329
295,SOFI,7.74,0.28,"3.7534%",44801175,most_actively_traded,2024-09-16 08:01:13.359
296,TSLL,10.91,0.02,"0.1837%",44323553,most_actively_traded,2024-09-16 08:01:13.394
297,TQQQ,67.35,0.87,"1.3087%",43506946,most_actively_traded,2024-09-16 08:01:13.447
298,INTC,19.66,0.3,"1.5496%",43481838,most_actively_traded,2024-09-16 08:01:13.477
299,SPXS,7.19,-0.1,-1.3717%,43408781,most_actively_traded,2024-09-16 08:01:13.515
300,SPY,561.95,2.86,"0.5115%",38342550,most_actively_traded,2024-09-16 08:01:13.558
301,NCNA,6.37,3.83,"150.7874%",66402886,top_gainers,2024-09-17 08:01:20.157
302,COOTW,0.0253,0.0148,"140.9524%",42878,top_gainers,2024-09-17 08:01:20.222
303,BROGW,0.0043,0.0025,"138.8889%",8000,top_gainers,2024-09-17 08:01:20.258
304,BBLG,1.89,1.09,"136.25%",157713001,top_gainers,2024-09-17 08:01:20.307
305,CCTSW,0.0252,0.0142,"129.0909%",101927,top_gainers,2024-09-17 08:01:20.352
306,LDTCW,0.039,0.0189,"94.0299%",2898,top_gainers,2024-09-17 08:01:20.405
307,SVMHW,0.0134,0.0064,"91.4286%",55548,top_gainers,2024-09-17 08:01:20.436
308,PLMIW,0.184,0.0841,"84.1842%",47258,top_gainers,2024-09-17 08:01:20.467
309,SURGW,0.0112,0.0048,"75.0%",2000,top_gainers,2024-09-17 08:01:20.499
310,PBMWW,0.0247,0.0096,"63.5762%",7391,top_gainers,2024-09-17 08:01:20.529
311,BNIXW,0.02,0.0075,"60.0%",2132,top_gainers,2024-09-17 08:01:20.570
312,AENTW,0.0431,0.0161,"59.6296%",10161,top_gainers,2024-09-17 08:01:20.618
313,PFTAW,0.0383,0.0133,"53.2%",1781,top_gainers,2024-09-17 08:01:20.653
314,TLGYW,0.0452,0.0151,"50.1661%",287323,top_gainers,2024-09-17 08:01:20.699
315,DATSW,0.0538,0.0178,"49.4444%",54393,top_gainers,2024-09-17 08:01:20.739
316,TVGNW,0.0179,0.0058,"47.9339%",140846,top_gainers,2024-09-17 08:01:20.779
317,LEV+,0.0199,0.0064,"47.4074%",9732,top_gainers,2024-09-17 08:01:20.812
318,DRMA,2.32,0.74,"46.8354%",24080724,top_gainers,2024-09-17 08:01:20.846
319,INTEW,0.08,0.025,"45.4545%",491,top_gainers,2024-09-17 08:01:20.874
320,REE,4.34,1.33,"44.186%",12342554,top_gainers,2024-09-17 08:01:20.907
321,JBDI,2.13,-24.32,-91.9471%,18443119,top_losers,2024-09-17 08:01:20.938
322,MKDWW,0.0113,-0.0244,-68.3473%,276177,top_losers,2024-09-17 08:01:20.980
323,CEADW,0.0061,-0.0116,-65.5367%,4000,top_losers,2024-09-17 08:01:21.016
324,SMXWW,0.007,-0.012,-63.1579%,30233,top_losers,2024-09-17 08:01:21.047
325,TUP,0.4838,-0.7162,-59.6833%,4964924,top_losers,2024-09-17 08:01:21.084
326,FORLW,0.0502,-0.0698,-58.1667%,46922,top_losers,2024-09-17 08:01:21.130
327,ISPOW,0.0123,-0.0132,-51.7647%,2308,top_losers,2024-09-17 08:01:21.160
328,ABLVW,0.02,-0.0199,-49.8747%,36853,top_losers,2024-09-17 08:01:21.195
329,BUJAW,0.0303,-0.0277,-47.7586%,134590,top_losers,2024-09-17 08:01:21.226
330,IVDAW,0.0316,-0.0264,-45.5172%,528,top_losers,2024-09-17 08:01:21.255
331,CEROW,0.0059,-0.0041,-41.0%,381156,top_losers,2024-09-17 08:01:21.292
332,INVZW,0.12,-0.08,-40.0%,18438,top_losers,2024-09-17 08:01:21.329
333,PNST+,0.0206,-0.0134,-39.4118%,25666,top_losers,2024-09-17 08:01:21.358
334,PETWW,0.0153,-0.0096,-38.5542%,126574,top_losers,2024-09-17 08:01:21.403
335,LIXTW,0.0247,-0.0152,-38.0952%,8066,top_losers,2024-09-17 08:01:21.442
336,DXF,0.084,-0.0497,-37.1728%,4257592,top_losers,2024-09-17 08:01:21.486
337,DMYY+,0.16,-0.09,-36.0%,875,top_losers,2024-09-17 08:01:21.513
338,DBGIW,10.5,-5.3,-33.5443%,1237,top_losers,2024-09-17 08:01:21.543
339,BFLY+,0.0631,-0.0318,-33.509%,138023,top_losers,2024-09-17 08:01:21.588
340,GRAF+,0.0751,-0.0366,-32.7663%,18121,top_losers,2024-09-17 08:01:21.636
341,NVDA,116.78,-2.32,-1.9479%,240398384,most_actively_traded,2024-09-17 08:01:21.683
342,MLGO,0.279,0.0475,"20.5184%",203638340,most_actively_traded,2024-09-17 08:01:21.718
343,BBLG,1.89,1.09,"136.25%",157713001,most_actively_traded,2024-09-17 08:01:21.751
344,INTC,20.91,1.25,"6.3581%",125147726,most_actively_traded,2024-09-17 08:01:21.795
345,SQQQ,8.3,0.13,"1.5912%",115943617,most_actively_traded,2024-09-17 08:01:21.828
346,SOXL,32.1213,-1.3087,-3.9147%,78927996,most_actively_traded,2024-09-17 08:01:21.858
347,PLTR,36.3185,0.7285,"2.0469%",73885904,most_actively_traded,2024-09-17 08:01:21.904
348,NCNA,6.37,3.83,"150.7874%",66402886,most_actively_traded,2024-09-17 08:01:21.944
349,IMRX,2.87,0.85,"42.0792%",64471438,most_actively_traded,2024-09-17 08:01:21.984
350,HOLO,0.235,-0.0035,-1.4675%,63649394,most_actively_traded,2024-09-17 08:01:22.020
351,MULN,0.1184,-0.0138,-10.4387%,63619249,most_actively_traded,2024-09-17 08:01:22.056
352,AAPL,216.32,-6.18,-2.7775%,58058314,most_actively_traded,2024-09-17 08:01:22.094
353,TSLA,226.7427,-3.5473,-1.5404%,53893231,most_actively_traded,2024-09-17 08:01:22.144
354,T,22.275,0.635,"2.9344%",53657025,most_actively_traded,2024-09-17 08:01:22.182
355,OPEN,2.38,0.11,"4.8458%",53086668,most_actively_traded,2024-09-17 08:01:22.233
356,SOXS,24.2,0.91,"3.9073%",49514284,most_actively_traded,2024-09-17 08:01:22.262
357,BBD,2.795,-0.005,-0.1786%,48264135,most_actively_traded,2024-09-17 08:01:22.310
358,ZNTL,3.68,0.44,"13.5802%",44486506,most_actively_traded,2024-09-17 08:01:22.350
359,SOFI,8.06,0.32,"4.1344%",44464814,most_actively_traded,2024-09-17 08:01:22.401
360,WBD,8.56,0.07,"0.8245%",42986703,most_actively_traded,2024-09-17 08:01:22.433
361,GLMD,15.1,11.23,"290.1809%",97281359,top_gainers,2024-09-18 08:01:07.474
362,VSACW,0.06,0.0378,"170.2703%",56342,top_gainers,2024-09-18 08:01:07.551
363,BROGW,0.004,0.0022,"122.2222%",46933,top_gainers,2024-09-18 08:01:07.591
364,SMSI,1.14,0.617,"117.9732%",185243006,top_gainers,2024-09-18 08:01:07.621
365,ISPOW,0.0262,0.0139,"113.0081%",49346,top_gainers,2024-09-18 08:01:07.659
366,GTACW,0.0636,0.0336,"112.0%",6256,top_gainers,2024-09-18 08:01:07.697
367,BFI,0.2335,0.1125,"92.9752%",258045215,top_gainers,2024-09-18 08:01:07.739
368,VLN+,0.0437,0.0207,"90.0%",12415,top_gainers,2024-09-18 08:01:07.773
369,SURGW,0.012,0.0056,"87.5%",1167,top_gainers,2024-09-18 08:01:07.812
370,SMXWW,0.0129,0.0059,"84.2857%",42873,top_gainers,2024-09-18 08:01:07.850
371,SYTAW,0.065,0.029,"80.5556%",72403,top_gainers,2024-09-18 08:01:07.888
372,AUUDW,0.0539,0.0239,"79.6667%",374,top_gainers,2024-09-18 08:01:07.919
373,GGROW,0.0699,0.0299,"74.75%",43634,top_gainers,2024-09-18 08:01:07.970
374,COEPW,0.02,0.0083,"70.9402%",9000,top_gainers,2024-09-18 08:01:08.009
375,CEROW,0.01,0.0041,"69.4915%",3700,top_gainers,2024-09-18 08:01:08.044
376,GRAF+,0.1351,0.0524,"63.3615%",799,top_gainers,2024-09-18 08:01:08.086
377,TALKW,0.0746,0.0283,"61.1231%",294662,top_gainers,2024-09-18 08:01:08.133
378,WHLRL,162.5,61.5,"60.8911%",2322,top_gainers,2024-09-18 08:01:08.166
379,LIXTW,0.0388,0.0141,"57.085%",63258,top_gainers,2024-09-18 08:01:08.203
380,LUCYW,0.06,0.021,"53.8462%",57583,top_gainers,2024-09-18 08:01:08.236
381,OMEX,0.4963,-4.1837,-89.3953%,8666541,top_losers,2024-09-18 08:01:08.273
382,HHGCW,0.0029,-0.0032,-52.459%,69461,top_losers,2024-09-18 08:01:08.308
383,TLGYW,0.022,-0.0232,-51.3274%,32666,top_losers,2024-09-18 08:01:08.367
384,AAGRW,0.0042,-0.0044,-51.1628%,780237,top_losers,2024-09-18 08:01:08.392
385,MCAAW,0.0124,-0.0125,-50.2008%,196879,top_losers,2024-09-18 08:01:08.416
386,STSSW,0.061,-0.0539,-46.9104%,2259,top_losers,2024-09-18 08:01:08.470
387,SWVL,3.05,-2.36,-43.6229%,468407,top_losers,2024-09-18 08:01:08.499
388,RFACW,0.0202,-0.0147,-42.1203%,2,top_losers,2024-09-18 08:01:08.532
389,NCNA,3.7,-2.67,-41.9152%,3102791,top_losers,2024-09-18 08:01:08.574
390,VEEA,5.3,-3.7,-41.1111%,160602,top_losers,2024-09-18 08:01:08.610
391,PBMWW,0.0151,-0.0096,-38.8664%,360,top_losers,2024-09-18 08:01:08.658
392,LDTCW,0.024,-0.015,-38.4615%,15037,top_losers,2024-09-18 08:01:08.691
393,APVO,0.2046,-0.1254,-38.0%,8155876,top_losers,2024-09-18 08:01:08.719
394,PGHL,11.65,-6.64,-36.304%,1030990,top_losers,2024-09-18 08:01:08.773
395,IGTAW,0.058,-0.032,-35.5556%,2100,top_losers,2024-09-18 08:01:08.808
396,VVPR,1.25,-0.66,-34.555%,17645922,top_losers,2024-09-18 08:01:08.851
397,EVTL+,0.023,-0.012,-34.2857%,247590,top_losers,2024-09-18 08:01:08.893
398,NKGN,0.491,-0.2541,-34.1028%,1213432,top_losers,2024-09-18 08:01:08.929
399,TVGNW,0.0121,-0.0058,-32.4022%,29759,top_losers,2024-09-18 08:01:08.953
400,WLDSW,0.0165,-0.0079,-32.377%,18752,top_losers,2024-09-18 08:01:08.980
401,BFI,0.2335,0.1125,"92.9752%",258045215,most_actively_traded,2024-09-18 08:01:09.010
402,NVDA,115.59,-1.19,-1.019%,228500145,most_actively_traded,2024-09-18 08:01:09.064
403,INTC,21.47,0.56,"2.6781%",195121799,most_actively_traded,2024-09-18 08:01:09.093
404,SMSI,1.14,0.617,"117.9732%",185243006,most_actively_traded,2024-09-18 08:01:09.125
405,SQQQ,8.28,-0.02,-0.241%,134860567,most_actively_traded,2024-09-18 08:01:09.161
406,GLMD,15.1,11.23,"290.1809%",97281359,most_actively_traded,2024-09-18 08:01:09.184
407,SOXL,32.21,0.05,"0.1555%",85874598,most_actively_traded,2024-09-18 08:01:09.211
408,TSLA,227.87,1.09,"0.4806%",66208696,most_actively_traded,2024-09-18 08:01:09.247
409,PLTR,36.48,0.17,"0.4682%",63702024,most_actively_traded,2024-09-18 08:01:09.283
410,SOXS,24.12,-0.05,-0.2069%,53299894,most_actively_traded,2024-09-18 08:01:09.318
411,PLUG,2.09,0.12,"6.0914%",52367828,most_actively_traded,2024-09-18 08:01:09.360
412,F,10.905,0.105,"0.9722%",51874031,most_actively_traded,2024-09-18 08:01:09.387
413,TQQQ,66.49,0.04,"0.0602%",50991670,most_actively_traded,2024-09-18 08:01:09.414
414,SOFI,8.12,0.06,"0.7444%",48320502,most_actively_traded,2024-09-18 08:01:09.456
415,LAZR,0.809,-0.1184,-12.7669%,46273943,most_actively_traded,2024-09-18 08:01:09.486
416,TSLL,10.68,0.09,"0.8499%",46222755,most_actively_traded,2024-09-18 08:01:09.520
417,SPXS,7.16,0.01,"0.1399%",46125374,most_actively_traded,2024-09-18 08:01:09.565
418,SPY,563.13,0.29,"0.0515%",45286153,most_actively_traded,2024-09-18 08:01:09.597
419,AAPL,216.79,0.47,"0.2173%",44288435,most_actively_traded,2024-09-18 08:01:09.627
420,SENS,0.4398,0.0452,"11.4546%",43801332,most_actively_traded,2024-09-18 08:01:09.673
421,HHGCW,0.0097,0.0068,"234.4828%",101584,top_gainers,2024-09-19 08:01:54.705
422,OMEX,1.4,0.9037,"182.0874%",324403065,top_gainers,2024-09-19 08:01:54.797
423,VEEA,12.25,6.95,"131.1321%",6351712,top_gainers,2024-09-19 08:01:54.831
424,KTTAW,0.025,0.0137,"121.2389%",165997,top_gainers,2024-09-19 08:01:54.872
425,PRTG,9.91,5.38,"118.7638%",51343277,top_gainers,2024-09-19 08:01:54.911
426,AMPGW,0.05,0.0257,"105.7613%",104904,top_gainers,2024-09-19 08:01:54.939
427,NLSPW,0.0199,0.0097,"95.098%",963,top_gainers,2024-09-19 08:01:54.972
428,XBPEW,0.0276,0.0116,"72.5%",100,top_gainers,2024-09-19 08:01:54.998
429,APLT,7.85,3.2,"68.8172%",50975121,top_gainers,2024-09-19 08:01:55.033
430,XCH,18.37,7.27,"65.4955%",1251444,top_gainers,2024-09-19 08:01:55.077
431,ENGNW,2.03,0.8,"65.0407%",4181,top_gainers,2024-09-19 08:01:55.104
432,CLNNW,0.0498,0.0194,"63.8158%",1024,top_gainers,2024-09-19 08:01:55.130
433,RVSNW,0.0636,0.0239,"60.2015%",8218,top_gainers,2024-09-19 08:01:55.163
434,LUNRW,2.31,0.86,"59.3103%",2988508,top_gainers,2024-09-19 08:01:55.205
435,WBUY,0.1843,0.0683,"58.8793%",245930731,top_gainers,2024-09-19 08:01:55.231
436,ZCARW,0.0198,0.0073,"58.4%",634,top_gainers,2024-09-19 08:01:55.276
437,SHOTW,0.45,0.15,"50.0%",6479,top_gainers,2024-09-19 08:01:55.313
438,PROCW,0.0299,0.0099,"49.5%",10000,top_gainers,2024-09-19 08:01:55.351
439,BCTXW,0.22,0.0723,"48.9506%",42288,top_gainers,2024-09-19 08:01:55.389
440,TVGNW,0.018,0.0059,"48.7603%",3619,top_gainers,2024-09-19 08:01:55.425
441,GLMD,6.9,-8.2,-54.3046%,6184381,top_losers,2024-09-19 08:01:55.482
442,COOTW,0.014,-0.0113,-44.664%,61819,top_losers,2024-09-19 08:01:55.515
443,VLN+,0.0256,-0.0192,-42.8571%,18848,top_losers,2024-09-19 08:01:55.544
444,CFFSW,0.045,-0.0326,-42.0103%,400,top_losers,2024-09-19 08:01:55.584
445,ESLAW,0.0606,-0.0384,-38.7879%,1100,top_losers,2024-09-19 08:01:55.619
446,DPCSW,0.0213,-0.0134,-38.6167%,10011,top_losers,2024-09-19 08:01:55.664
447,CURIW,0.025,-0.015,-37.5%,3050,top_losers,2024-09-19 08:01:55.707
448,GGROW,0.0451,-0.0248,-35.4793%,13544,top_losers,2024-09-19 08:01:55.739
449,DTSS,2.0,-0.94,-31.9728%,1271262,top_losers,2024-09-19 08:01:55.784
450,MRNOW,0.1001,-0.0458,-31.3914%,16008,top_losers,2024-09-19 08:01:55.805
451,NVACR,0.0511,-0.023,-31.0391%,1313,top_losers,2024-09-19 08:01:55.824
452,KA,0.5746,-0.2554,-30.7711%,479803,top_losers,2024-09-19 08:01:55.857
453,SHFSW,0.0338,-0.0139,-29.1405%,33108,top_losers,2024-09-19 08:01:55.896
454,CBUS,3.595,-1.465,-28.9526%,2299020,top_losers,2024-09-19 08:01:55.929
455,LKCO,2.63,-1.02,-27.9452%,152708,top_losers,2024-09-19 08:01:55.967
456,WHLR,6.74,-2.56,-27.5269%,1635313,top_losers,2024-09-19 08:01:55.990
457,NUKKW,0.0082,-0.0031,-27.4336%,5550,top_losers,2024-09-19 08:01:56.019
458,SBC,7.66,-2.84,-27.0476%,142589,top_losers,2024-09-19 08:01:56.054
459,VEEAW,0.1824,-0.0676,-27.04%,550701,top_losers,2024-09-19 08:01:56.095
460,BFI,0.1705,-0.063,-26.9807%,16143069,top_losers,2024-09-19 08:01:56.125
461,OMEX,1.4,0.9037,"182.0874%",324403065,most_actively_traded,2024-09-19 08:01:56.156
462,NVDA,113.37,-2.22,-1.9206%,301245190,most_actively_traded,2024-09-19 08:01:56.199
463,WBUY,0.1843,0.0683,"58.8793%",245930731,most_actively_traded,2024-09-19 08:01:56.238
464,SQQQ,8.4,0.12,"1.4493%",197910589,most_actively_traded,2024-09-19 08:01:56.295
465,LUNR,7.47,2.07,"38.3333%",140260742,most_actively_traded,2024-09-19 08:01:56.333
466,INTC,20.77,-0.7,-3.2604%,116691241,most_actively_traded,2024-09-19 08:01:56.371
467,SOXL,31.15,-1.01,-3.1405%,110718668,most_actively_traded,2024-09-19 08:01:56.413
468,GRAB,3.66,0.09,"2.521%",92672638,most_actively_traded,2024-09-19 08:01:56.441
469,TQQQ,65.62,-0.87,-1.3085%,81391899,most_actively_traded,2024-09-19 08:01:56.486
470,TSLA,227.2,-0.67,-0.294%,77164952,most_actively_traded,2024-09-19 08:01:56.520
471,VVOS,4.13,1.33,"47.5%",73823324,most_actively_traded,2024-09-19 08:01:56.570
472,SOXS,24.95,0.8,"3.3126%",73272887,most_actively_traded,2024-09-19 08:01:56.604
473,OPEN,2.2,-0.16,-6.7797%,70672284,most_actively_traded,2024-09-19 08:01:56.634
474,PLTR,36.4,-0.05,-0.1372%,65567232,most_actively_traded,2024-09-19 08:01:56.674
475,PLUG,2.1,0.01,"0.4785%",65437573,most_actively_traded,2024-09-19 08:01:56.709
476,NIO,5.03,-0.38,-7.024%,64367969,most_actively_traded,2024-09-19 08:01:56.746
477,SPXS,7.23,0.07,"0.9777%",64280691,most_actively_traded,2024-09-19 08:01:56.782
478,TELL,0.9415,0.011,"1.1822%",64164718,most_actively_traded,2024-09-19 08:01:56.817
479,SH,11.235,0.035,"0.3125%",63718991,most_actively_traded,2024-09-19 08:01:56.856
480,SOFI,8.11,-0.01,-0.1232%,63211066,most_actively_traded,2024-09-19 08:01:56.891
